type	time	latitude	longitude	altitude (m)	speed (km/h)	distance_interval (m)	name	desc
T	2016-12-23 18:08:59	43.659766582	-79.396479931	120.7	0.0	0.00	2016-12-23 13:08:59	
T	2016-12-23 18:09:00	43.659792859	-79.396483284	124.6	10.6	2.94		
T	2016-12-23 18:09:01	43.659817795	-79.396453109	125.3	13.3	3.69		
T	2016-12-23 18:09:02	43.659784980	-79.396449253	126.7	13.2	3.66		
T	2016-12-23 18:09:04	43.659681045	-79.396449085	137.2	20.8	11.56		
T	2016-12-23 18:09:06	43.659626311	-79.396448499	134.0	11.0	6.09		
T	2016-12-23 18:09:08	43.659633435	-79.396453025	134.6	1.6	0.88		
T	2016-12-23 18:09:09	43.659615708	-79.396460736	127.3	7.4	2.07		
T	2016-12-23 18:09:10	43.659611433	-79.396455791	128.6	2.2	0.62		
T	2016-12-23 18:09:11	43.659603219	-79.396447912	132.9	4.0	1.11		
T	2016-12-23 18:09:12	43.659594459	-79.396442967	135.1	3.8	1.05		
T	2016-12-23 18:09:14	43.659584820	-79.396451600	137.3	2.3	1.28		
T	2016-12-23 18:09:15	43.659586455	-79.396463754	137.4	3.6	1.00		
T	2016-12-23 18:09:16	43.659584359	-79.396476578	140.4	3.8	1.06		
T	2016-12-23 18:09:17	43.659582431	-79.396492085	141.0	4.6	1.27		
T	2016-12-23 18:09:18	43.659580923	-79.396511866	141.5	5.8	1.61		
T	2016-12-23 18:09:19	43.659573672	-79.396527121	143.2	5.3	1.46		
T	2016-12-23 18:09:20	43.659563069	-79.396541705	143.4	6.0	1.66		
T	2016-12-23 18:09:21	43.659545342	-79.396550087	143.7	7.5	2.08		
T	2016-12-23 18:09:22	43.659527530	-79.396556122	143.9	7.3	2.04		
T	2016-12-23 18:09:23	43.659510347	-79.396559307	143.1	6.9	1.93		
T	2016-12-23 18:09:24	43.659491739	-79.396567522	143.2	7.8	2.17		
T	2016-12-23 18:09:25	43.659472084	-79.396575065	142.7	8.2	2.27		
T	2016-12-23 18:09:26	43.659456242	-79.396580262	137.3	6.5	1.81		
T	2016-12-23 18:09:27	43.659441532	-79.396578083	138.0	5.9	1.65		
T	2016-12-23 18:09:28	43.659428246	-79.396573808	138.8	5.5	1.51		
T	2016-12-23 18:09:29	43.659414207	-79.396569198	139.8	5.8	1.61		
T	2016-12-23 18:09:30	43.659398155	-79.396563666	139.6	6.6	1.84		
T	2016-12-23 18:09:31	43.659384954	-79.396561906	139.7	5.3	1.48		
T	2016-12-23 18:09:32	43.659377326	-79.396561403	139.7	3.1	0.85		
T	2016-12-23 18:09:33	43.659370160	-79.396561235	139.1	2.9	0.79		
T	2016-12-23 18:09:34	43.659361694	-79.396562157	138.8	3.4	0.95		
T	2016-12-23 18:09:35	43.659353145	-79.396564337	138.7	3.5	0.97		
T	2016-12-23 18:09:36	43.659343799	-79.396567857	138.4	3.9	1.07		
T	2016-12-23 18:09:37	43.659335584	-79.396570539	137.9	3.4	0.94		
T	2016-12-23 18:09:38	43.659326574	-79.396571964	137.4	3.6	1.01		
T	2016-12-23 18:09:39	43.659317270	-79.396570707	136.6	3.8	1.04		
T	2016-12-23 18:09:40	43.659311864	-79.396570372	136.1	2.2	0.60		
T	2016-12-23 18:09:41	43.659307798	-79.396571461	135.6	1.6	0.45		
T	2016-12-23 18:09:42	43.659302979	-79.396572299	134.9	2.0	0.54		
T	2016-12-23 18:09:43	43.659293256	-79.396572635	134.5	3.9	1.07		
T	2016-12-23 18:09:44	43.659281060	-79.396572132	134.0	4.9	1.36		
T	2016-12-23 18:09:45	43.659269703	-79.396570036	133.6	4.6	1.28		
T	2016-12-23 18:09:46	43.659257507	-79.396566181	133.2	5.0	1.39		
